brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
BMW,BMW M5,M5 Competition,Rs. 1.99 Crore,"4395 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",Twin-Turbocharged V8,Petrol,717 bhp @ 5600 rpm,1000 Nm @ 1800 rpm,N/A,69 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,"Regenerative Braking, Idle Start/Stop","4, DOHC",4983 mm,1903 mm,1469 mm,2982 mm,128 mm,4 Doors,5 Person,2 Rows,530 litres,N/A,Double Wishbone Axle with Adaptive Variable Damper Control,Five-link Axle with  Adaptive Variable Damper Control,Ventilated Disc,Ventilated Disc,6.3 metres
BMW,BMW 7 Series,7 Series 740i M Sport,Rs. 1.82 Crore,"2998 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",B58 Turbocharged I6,Petrol,375 bhp @ 5200 rpm,520 Nm @ 1850 rpm,12.61 kmpl,N/A,RWD,"Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",5391 mm,1950 mm,1544 mm,3215 mm,N/A,4 Doors,5 Person,2 Rows,N/A,N/A,N/A,N/A,Disc,Disc,N/A
BMW,BMW 7 Series,7 Series 740d M Sport,Rs. 1.84 Crore,"2993 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",B57 Turbocharged I6,Diesel,282 bhp @ 4000 rpm,650 Nm @ 1500-2500 rpm,16.55 kmpl,N/A,RWD,"Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",5391 mm,1950 mm,1544 mm,3215 mm,N/A,4 Doors,5 Person,2 Rows,N/A,N/A,N/A,N/A,Disc,Disc,N/A
BMW,BMW 2 Series Gran Coupe,2 Series Gran Coupe 220i M Sport,Rs. 43.90 Lakh,"1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L Twin power turbo,Petrol,176 bhp @ 5100 rpm,280 Nm @ 1350-4600 rpm,14.82 kmpl,741 km,FWD,"Automatic (TC) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4526 mm,2081 mm,1420 mm,2670 mm,N/A,4 Doors,5 Person,2 Rows,N/A,50 litres,Single-joint Spring Strut Axle,Multi-link Axle with Separate Spring and Damper,Ventilated Disc,Ventilated Disc,5.7 metres
BMW,BMW 2 Series Gran Coupe,2 Series Gran Coupe 220i M Sport Pro,Rs. 45.90 Lakh,"1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L Twin power turbo,Petrol,176 bhp @ 5100 rpm,280 Nm @ 1350-4600 rpm,14.82 kmpl,741 km,FWD,"Automatic (TC) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4526 mm,2081 mm,1420 mm,2670 mm,N/A,4 Doors,5 Person,2 Rows,N/A,50 litres,Single-joint Spring Strut Axle,Multi-link Axle with Separate Spring and Damper,Ventilated Disc,Ventilated Disc,5.7 metres
BMW,BMW 2 Series Gran Coupe,2 Series Gran Coupe M Performance Edition,Rs. 46.00 Lakh,"1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L,Petrol,177 bhp @ 5100 rpm,280 Nm @ 1350-4600 rpm,14.82 kmpl,741 km,FWD,"Automatic (TC) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4526 mm,2081 mm,1420 mm,2670 mm,N/A,4 Doors,5 Person,2 Rows,N/A,50 litres,Single-joint Spring Strut Axle,Multi-link Axle with Separate Spring and Damper,Ventilated Disc,Ventilated Disc,5.7 metres
BMW,BMW 2 Series Gran Coupe,2 Series Gran Coupe 220d M Sport,Rs. 46.90 Lakh,"1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L B47D20 Turbocharged I4,Diesel,188 bhp @ 4000 rpm,400 Nm @ 1750-2500 rpm,18.64 kmpl,932 km,FWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4526 mm,2081 mm,1420 mm,2670 mm,N/A,4 Doors,5 Person,2 Rows,N/A,50 litres,Single-joint Spring Strut Axle,Multi-link Axle with Separate Spring and Damper,Ventilated Disc,Ventilated Disc,5.7 metres
BMW,BMW 2 Series Gran Coupe,2 Series Gran Coupe 220i M Sport Shadow Edition,Rs. 46.90 Lakh,"1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L Twin power turbo,Petrol,177 bhp @ 5100 rpm,280 Nm @ 1350-4600 rpm,14.82 kmpl,741 km,FWD,"Automatic (TC) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4526 mm,2081 mm,1420 mm,2670 mm,N/A,4 Doors,5 Person,2 Rows,N/A,50 litres,Single-joint Spring Strut Axle,Multi-link Axle with Separate Spring and Damper,Ventilated Disc,Ventilated Disc,5.7 metres
BMW,BMW M340i,M340i xDrive,Rs. 74.90 Lakh,"2998 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",B58 Turbocharged I6,Petrol,369 bhp @ 5500-6500 rpm,500 Nm @ 1900-5000 rpm,13.02 kmpl,768 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4713 mm,1827 mm,1440 mm,2851 mm,N/A,4 Doors,5 Person,2 Rows,N/A,59 litres,"Double-joint spring strut axle, hydraulically damped torque strut bearing",Five-link axle,Ventilated Disc,Ventilated Disc,6 metres
BMW,BMW X1,X1 sDrive18i M Sport,Rs. 49.90 Lakh,"1499 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",TwinPower Turbo 3-Cylinder engine,Petrol,134 bhp @ 4400-6500 rpm,230 Nm @ 1500-4000 rpm,16.35 kmpl,834 km,FWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4500 mm,1845 mm,1630 mm,2692 mm,N/A,5 Doors,5 Person,2 Rows,N/A,51 litres,Single-joint Spring-strut Axle,Multi-arm Axle with Separate Spring and Damper,Ventilated Disc,Ventilated Disc,5.8 metres
