brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
Hyundai,Hyundai Creta,Creta E 1.5 Petrol,Rs. 11.00 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,143.8 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta EX 1.5 Petrol,Rs. 12.21 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4300 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta E 1.5 Diesel,Rs. 12.56 Lakh,"1493 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l U2 CRDi,Diesel,113 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta S 1.5 Petrol,Rs. 13.43 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,143.8 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta EX 1.5 Diesel,Rs. 13.79 Lakh,"1493 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l U2 CRDi,Diesel,113 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta S (O) 1.5 Petrol,Rs. 14.36 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,143.8 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta S (O) 1.5 Petrol Knight Edition,Rs. 14.51 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,143.8 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta S (O) 1.5 Petrol Titan Grey Matte Knight Edition,Rs. 14.56 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,143.8 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta S (O) 1.5 Petrol Knight Edition Dual Tone,Rs. 14.66 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l MPi,Petrol,113 bhp @ 6300 rpm,143.8 Nm @ 4500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
Hyundai,Hyundai Creta,Creta S 1.5 Diesel,Rs. 15.00 Lakh,"1493 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l U2 CRDi,Diesel,113 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4330 mm,1790 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,N/A,50 litres,McPherson strut with coil spring,Coupled torsion beam axle,Disc,Disc,N/A
