brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
kia,Kia Seltos,Seltos HTE 1.5 Petrol MT,Rs. 10.90 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,17 kmpl,850 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1620 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTK 1.5 Petrol MT,Rs. 12.37 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,17 kmpl,850 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTE 1.5 Diesel MT,Rs. 12.46 Lakh,"1493 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l CRDi VGT,Diesel,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,20.7 kmpl,1035 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1620 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTK 1.5 Diesel MT,Rs. 13.88 Lakh,"1493 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l CRDi VGT,Diesel,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,20.7 kmpl,1035 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTK Plus 1.5 Petrol MT,Rs. 14.14 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,17 kmpl,850 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTX 1.5 Petrol MT,Rs. 15.47 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,17 kmpl,850 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1645 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTK Plus 1.5 Petrol CVT,Rs. 15.50 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,17.7 kmpl,885 km,FWD,"Automatic (CVT) - CVT Gears, Manual Override & Paddle Shift",BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1645 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTK Plus 1.5 Turbo Petrol iMT,Rs. 15.62 Lakh,"1482 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 T-GDi,Petrol,158 bhp @ 5500 rpm,253 Nm @ 1500-3500 rpm,17.7 kmpl,885 km,FWD,Clutchless Manual (IMT) - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos HTK Plus 1.5 Diesel MT,Rs. 15.63 Lakh,"1493 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5l CRDi VGT,Diesel,114 bhp @ 4000 rpm,250 Nm @ 1500-2750 rpm,20.7 kmpl,1035 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1635 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
kia,Kia Seltos,Seltos Gravity 1.5 Petrol MT,Rs. 16.63 Lakh,"1497 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",G1.5 MPi,Petrol,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,17 kmpl,850 km,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4365 mm,1800 mm,1645 mm,2610 mm,N/A,5 Doors,5 Person,2 Rows,433 litres,50 litres,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with Coil Spring,Disc,Disc,N/A
