brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
Land_Rover,Land Rover Defender,Defender 110 X-Dynamic HSE 2.0 Petrol,Rs. 1.04 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,N/A,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius
Land_Rover,Land Rover Defender,Defender 90 X-Dynamic HSE 3.0 Diesel,Rs. 1.25 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,N/A,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius
Land_Rover,Land Rover Defender,Defender 110 X-Dynamic HSE 3.0 Diesel,Rs. 1.32 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius
Land_Rover,Land Rover Defender,Defender Sedona Edition Petrol,Rs. 1.39 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius
Land_Rover,Land Rover Defender,Defender Sedona Edition Diesel,Rs. 1.39 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius
Land_Rover,Land Rover Defender,Defender 130 HSE 3.0 Petrol Outbound,Rs. 1.41 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,N/A
Land_Rover,Land Rover Defender,Defender 130 HSE 3.0 Diesel Outbound,Rs. 1.41 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,N/A
Land_Rover,Land Rover Defender,Defender 110 X 3.0 Diesel,Rs. 1.42 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,Minimum Turning Radius
Land_Rover,Land Rover Defender,Defender 130 X-Dynamic HSE 3.0 Diesel,Rs. 1.47 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,N/A,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,N/A
Land_Rover,Land Rover Defender,Defender 130 X 3.0 Diesel,Rs. 1.57 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,N/A,Others,Valve/Cylinder (Configuration),Length,Width,Height,Wheelbase,Ground Clearance,Doors,Seating Capacity,No of Rows,Bootspace,Fuel Tank Capacity,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,N/A
Land_Rover,Land Rover Defender,Defender OCTA,Rs. 2.65 Crore,Engine,Engine Type,Fuel Type,Max Power (bhp@rpm),Max Torque (Nm@rpm),N/A,N/A,Drivetrain,Transmission,Emission Standard,Electric Motor,Others,Valve/Cylinder (Configuration),Length,Width,Height,N/A,N/A,Doors,Seating Capacity,No of Rows,N/A,N/A,Front Suspension,Rear Suspension,Front Brake Type,Rear Brake Type,N/A
