brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
MG,MG Windsor EV,Windsor EV Excite,Rs. 11.75 Lakh,N/A,N/A,Electric,N/A,N/A,N/A,331 km,FWD,Automatic,N/A,1 Permanent magnet synchronous Placed At Front  Axle,Pure Electric Driving Mode,N/A,4295 mm,1850 mm,1677 mm,2700 mm,186 mm,5 Doors,5 Person,2 Rows,604 litres,N/A,MacPherson Strut,Torsion Beam,Disc,Disc,N/A
MG,MG Windsor EV,Windsor EV Exclusive,Rs. 12.75 Lakh,N/A,N/A,Electric,N/A,N/A,N/A,331 km,FWD,Automatic,N/A,1 Permanent magnet synchronous Placed At Front  Axle,Pure Electric Driving Mode,N/A,4295 mm,1850 mm,1677 mm,2700 mm,186 mm,5 Doors,5 Person,2 Rows,604 litres,N/A,MacPherson Strut,Torsion Beam,Disc,Disc,N/A
MG,MG Windsor EV,Windsor EV Essence,Rs. 13.75 Lakh,N/A,N/A,Electric,N/A,N/A,N/A,331 km,FWD,Automatic,N/A,1 Permanent magnet synchronous Placed At Front  Axle,Pure Electric Driving Mode,N/A,4295 mm,1850 mm,1677 mm,2700 mm,186 mm,5 Doors,5 Person,2 Rows,579 litres,N/A,MacPherson Strut,Torsion Beam,Disc,Disc,N/A
MG,MG Hector,Hector Style 1.5 Turbo MT,Rs. 14.00 Lakh,"1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5 Turbocharged Intercooled,Petrol,141 bhp @ 5000 rpm,250 Nm @ 1600-3600 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4655 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Beam Assemble + Coil Spring,Disc,Disc,N/A
MG,MG Hector,Hector Shine Pro 1.5 Turbo MT,Rs. 16.41 Lakh,"1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5 Turbocharged Intercooled,Petrol,141 bhp @ 5000 rpm,250 Nm @ 1600-3600 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4699 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Beam Assemble + Coil Spring,Disc,Disc,N/A
MG,MG Hector,Hector Shine Pro 1.5 Turbo CVT,Rs. 17.42 Lakh,"1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5 Turbocharged Intercooled,Petrol,141 bhp @ 5000 rpm,250 Nm @ 1600-3600 rpm,N/A,N/A,FWD,"Automatic (CVT) - CVT Gears, Manual Override",BS6 Phase 2,N/A,N/A,"4, DOHC",4699 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Beam Assemble + Coil Spring,Disc,Disc,N/A
MG,MG Hector,Hector Select Pro 1.5 Turbo MT,Rs. 17.73 Lakh,"1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5 Turbocharged Intercooled,Petrol,141 bhp @ 5000 rpm,250 Nm @ 1600-3600 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4699 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Beam Assemble + Coil Spring,Disc,Disc,N/A
MG,MG Hector,Hector Shine Pro 2.0 Turbo Diesel MT,Rs. 18.13 Lakh,"1956 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L Turbocharged,Diesel,168 bhp @ 3750 rpm,350 Nm @ 1750-2500 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4699 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Semi Independent Helical Spring Torsion Beam,Disc,Disc,N/A
MG,MG Hector,Hector Smart Pro 1.5 Turbo MT,Rs. 18.68 Lakh,"1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5 Turbocharged Intercooled,Petrol,141 bhp @ 5000 rpm,250 Nm @ 1600-3600 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4699 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Beam Assemble + Coil Spring,Disc,Disc,N/A
MG,MG Hector,Hector Select Pro 1.5 Turbo CVT,Rs. 18.96 Lakh,"1451 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5 Turbocharged Intercooled,Petrol,141 bhp @ 5000 rpm,250 Nm @ 1600-3600 rpm,N/A,N/A,FWD,"Automatic (CVT) - CVT Gears, Manual Override",BS6 Phase 2,N/A,N/A,"4, DOHC",4699 mm,1835 mm,1760 mm,2750 mm,N/A,5 Doors,5 Person,2 Rows,587 litres,60 litres,Mcpherson Strut + Coil Springs,Beam Assemble + Coil Spring,Disc,Disc,N/A
