brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
Skoda,Skoda Kylaq,Kylaq Classic,Rs. 7.89 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Kylaq,JUST LAUNCHED,Rs. 9.59 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Kylaq,JUST LAUNCHED,Rs. 10.59 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,Automatic (TC) - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Kylaq,JUST LAUNCHED,Rs. 11.40 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Kylaq,JUST LAUNCHED,Rs. 12.40 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,Automatic (TC) - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Kylaq,JUST LAUNCHED,Rs. 13.35 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,Manual - 6 Gears,BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Kylaq,JUST LAUNCHED,Rs. 14.40 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI Petrol,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4000 rpm,N/A,N/A,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",3995 mm,1783 mm,1619 mm,2566 mm,189 mm,5 Doors,5 Person,2 Rows,446 litres,45 litres,N/A,N/A,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Classic 1.0L TSI MT (2 Airbags),Rs. 10.49 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,20.32 kmpl,915 km,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Classic 1.0L TSI MT,Rs. 10.69 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,20.32 kmpl,915 km,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Signature 1.0L TSI MT (2 Airbags),Rs. 13.79 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,20.32 kmpl,915 km,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Signature 1.0L TSI MT,Rs. 13.99 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,20.32 kmpl,915 km,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Sportline 1.0L TSI MT,Rs. 14.05 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,20.32 kmpl,915 km,FWD,Manual - 6 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Signature 1.0L TSI AT (2 Airbags),Rs. 14.89 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,18.73 kmpl,843 km,FWD,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Signature 1.0L TSI AT,Rs. 15.09 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,18.73 kmpl,843 km,FWD,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
Skoda,Skoda Slavia,Slavia Sportline 1.0L TSI AT,Rs. 15.15 Lakh,"999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0 TSI,Petrol,114 bhp @ 5000-5500 rpm,178 Nm @ 1750-4500 rpm,18.73 kmpl,843 km,FWD,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4541 mm,1752 mm,1507 mm,2651 mm,179 mm,4 Doors,5 Person,2 Rows,521 litres,45 litres,McPherson Suspension with Lower Triangular Links and Stabiliser Bar,Twist Beam Axle,Disc,Drum,N/A
