brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
Toyata,Toyota Camry,Camry Hybrid,Rs. 48.00 Lakh,"2487 cc, 4 Cylinders Inline",N/A,Hybrid (Electric + Petrol),184 bhp @ 6000 rpm,221 Nm @ 3600-5200 rpm,25.49 kmpl,1275 km,FWD,"Automatic (e-CVT), Paddle Shift",BS6 Phase 2,Permanent magnet synchronous,N/A,N/A,4920 mm,1840 mm,1455 mm,2825 mm,N/A,4 Doors,5 Person,2 Rows,N/A,50 litres,MacPherson Strut,Double Wishbone,Disc,Disc,N/A
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder E NeoDrive,Rs. 11.14 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.12 kmpl,950 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder S NeoDrive,Rs. 12.81 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.12 kmpl,950 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder S E-CNG,Rs. 13.71 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K,CNG,87 bhp @ 5500 rpm,121.5 Nm @ 4200 rpm,26.6 kmpl,1463 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,55 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder S AT NeoDrive,Rs. 14.01 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,20.58 kmpl,926 km,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder G NeoDrive,Rs. 14.49 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.12 kmpl,950 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder G E-CNG,Rs. 15.59 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K,CNG,87 bhp @ 5500 rpm,121.5 Nm @ 4200 rpm,26.6 kmpl,1463 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,55 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder G AT NeoDrive,Rs. 15.69 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,20.58 kmpl,926 km,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder V NeoDrive,Rs. 16.04 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,21.12 kmpl,950 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder S Hybrid,Rs. 16.66 Lakh,"1490 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K,Hybrid (Electric + Petrol),91 bhp @ 5500 rpm,122 Nm @ 4400 rpm,27.97 kmpl,1258 km,FWD,"Automatic (e-CVT) - CVT Gears, Paddle Shift",BS6 Phase 2,1 3 Phase AC Induction Motor Placed At In Boot,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,265 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder V AT NeoDrive,Rs. 17.24 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,20.58 kmpl,926 km,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder V AWD NeoDrive,Rs. 17.54 Lakh,"1462 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K e-Drive Hybrid,Petrol,102 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,19.39 kmpl,872 km,AWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,373 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder G Hybrid,Rs. 18.69 Lakh,"1490 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K,Hybrid (Electric + Petrol),91 bhp @ 5500 rpm,122 Nm @ 4400 rpm,27.97 kmpl,1258 km,FWD,"Automatic (EV/Hybrid) - CVT Gears, Paddle Shift",BS6 Phase 2,1 3 Phase AC Induction Motor Placed At In Boot,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,265 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Hyryder,Urban Cruiser Hyryder V Hybrid,Rs. 19.99 Lakh,"1490 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.5L K,Hybrid (Electric + Petrol),91 bhp @ 5500 rpm,122 Nm @ 4400 rpm,27.97 kmpl,1258 km,FWD,"Automatic (EV/Hybrid) - CVT Gears, Paddle Shift",BS6 Phase 2,1 3 Phase AC Induction Motor Placed At In Boot,Idle Start/Stop,"4, DOHC",4365 mm,1795 mm,1645 mm,2600 mm,210 mm,5 Doors,5 Person,2 Rows,265 litres,45 litres,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,5.4 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor E 1.2 Petrol MT,Rs. 7.74 Lakh,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1.2L K-Series Dual Jet, Dual VVT",Petrol,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,21.71 kmpl,803 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor S 1.2 Petrol MT,Rs. 8.60 Lakh,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1.2L K-Series Dual Jet, Dual VVT",Petrol,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,21.71 kmpl,803 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor E 1.2 CNG MT,Rs. 8.72 Lakh,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1.2L K-Series Dual Jet, Dual VVT",CNG,76 bhp @ 6000 rpm,98.5 Nm @ 4300 rpm,28.51 kmpl,1568 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,N/A,55 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor S Plus 1.2 Petrol MT,Rs. 8.99 Lakh,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1.2L K-Series Dual Jet, Dual VVT",Petrol,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,21.71 kmpl,803 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor S 1.2 Petrol AMT,Rs. 9.13 Lakh,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1.2L K-Series Dual Jet, Dual VVT",Petrol,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,22.79 kmpl,843 km,FWD,Automatic (AMT) - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor S Plus 1.2 Petrol AMT,Rs. 9.53 Lakh,"1197 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC","1.2L K-Series Dual Jet, Dual VVT",Petrol,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,22.79 kmpl,843 km,FWD,Automatic (AMT) - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor G 1.0 Petrol MT,Rs. 10.56 Lakh,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0L K-Series Turbo,Petrol,99 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,21.18 kmpl,784 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor V 1.0 Petrol MT,Rs. 11.48 Lakh,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0L K-Series Turbo,Petrol,99 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,21.18 kmpl,784 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor V 1.0 Petrol MT Dual Tone,Rs. 11.64 Lakh,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0L K-Series Turbo,Petrol,99 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,21.18 kmpl,784 km,FWD,Manual - 5 Gears,BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor G 1.0 Petrol AT,Rs. 11.96 Lakh,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0L K-Series Turbo,Petrol,99 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,19.86 kmpl,735 km,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor V 1.0 Petrol AT,Rs. 12.88 Lakh,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0L K-Series Turbo,Petrol,99 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,19.86 kmpl,735 km,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Urban Cruiser Taisor,Urban Cruiser Taisor V 1.0 Petrol AT Dual Tone,Rs. 13.04 Lakh,"998 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.0L K-Series Turbo,Petrol,99 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,19.86 kmpl,735 km,FWD,"Automatic (TC) - 6 Gears, Paddle Shift",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",3995 mm,1765 mm,1550 mm,2520 mm,N/A,5 Doors,5 Person,2 Rows,308 litres,37 litres,MacPherson Strut,Torsion Beam,Disc,Drum,4.9 metres
Toyata,Toyota Innova Crysta,Innova Crysta GX 7 STR,Rs. 19.99 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,7 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Innova Crysta,Innova Crysta GX 8 STR,Rs. 19.99 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,8 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Innova Crysta,Innova Crysta GX Plus 7 STR,Rs. 21.49 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,7 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Innova Crysta,Innova Crysta GX Plus 8 STR,Rs. 21.54 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,8 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Innova Crysta,Innova Crysta VX 2.4 7 STR,Rs. 24.89 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,7 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Innova Crysta,Innova Crysta VX 2.4 8 STR,Rs. 24.94 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,8 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Innova Crysta,Innova Crysta ZX 2.4 7 STR,Rs. 26.55 Lakh,"2393 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",N/A,Diesel,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,N/A,N/A,RWD,Manual - 5 Gears,BS6 Phase 2,N/A,N/A,"4, DOHC",4735 mm,1830 mm,1795 mm,2750 mm,N/A,5 Doors,7 Person,3 Rows,300 litres,65 litres,Double Wishbone with Torsion Bar,4-Link with Coil Spring,Disc,Drum,5.4 metres
Toyata,Toyota Fortuner,Fortuner 4X2 MT 2.7 Petrol,Rs. 33.43 Lakh,"2694 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2TR-FE I4 Dual VVT-i,Petrol,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,10 kmpl,800 km,RWD,"Manual - 5 Gears, Sport Mode",BS 6,N/A,N/A,"4, DOHC",4795 mm,1855 mm,1835 mm,2745 mm,N/A,5 Doors,7 Person,3 Rows,296 litres,80 litres,Double Wishbone with Stabiliser,4-Link with Coil Spring and Stabiliser,Ventilated Disc,Ventilated Disc,5.8 metres
Toyata,Toyota Fortuner,Fortuner 4X2 AT 2.7 Petrol,Rs. 35.02 Lakh,"2694 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2TR-FE I4 Dual VVT-i,Petrol,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,10.3 kmpl,824 km,RWD,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode",BS 6,N/A,N/A,"4, DOHC",4795 mm,1855 mm,1835 mm,2745 mm,N/A,5 Doors,7 Person,3 Rows,296 litres,80 litres,Double Wishbone with Stabiliser,4-Link with Coil Spring and Stabiliser,Ventilated Disc,Ventilated Disc,5.8 metres
